"Species","aic","lrr","pval","p-value"
"Solidago rigida",-3.1,5.1,0.02,0.17
"Ambrosia coronopifolia",-2.5,4.53,0.03,0.17
"Poa pratensis",-1.2,3.19,0.07,0.25
"Aster azureus",0,1.98,0.16,0.4
"Schizachyrium scoparium",1.7,0.28,0.6,0.81
"Artemisia ludoviciana",1.4,0.61,0.43,0.81
"Euphorbia corollata",1.8,0.21,0.65,0.81
"Lathyrus venosus",1.6,0.41,0.52,0.81
"Agropyron repens",2,0.03,0.86,0.86
"Sorghastrum nutans",1.9,0.08,0.78,0.86
