"Parameter","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",408.14,36.84,1187,11.08,3.2265169520992e-27
"ln.NAtm.NAdd",-1.84,0.15,51,-12.57,3.05051935340996e-17
"Year",-0.2,0.02,1187,-10.84,3.42537980923693e-26
"means.Sr.4_mean",0.3,0.11,51,2.65,0.0107702743277209
