"Parameter","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",269.82,37.06,1186,7.28,6.06174160482072e-13
"ln.NAtm.NAdd",-1.84,0.14,52,-12.68,1.53607214197294e-17
"Year",-0.13,0.02,1186,-7.09,2.3751308098943e-12
"means.Sr.4",0.35,0.04,1186,8.84,3.38071053171033e-18
