"","numDF","denDF","F-value","p-value"
"(Intercept)",1,129,13.8844206261399,0.000289633263486189
"means.Sr.4",1,129,11.970987957274,0.000732970438423131
"Year",1,129,13.689760667181,0.000318033902141024
"means.Sr.4:Year",1,129,12.0897218593478,0.000691514924561654
