"Species","Effect Size ± SE","p-value"
"Poa pratensis","29.17±3.31","<0.001"
"Agropyron repens","24.89±4.02","<0.001"
"Artemisia ludoviciana","6.77±0.98","<0.001"
"Ambrosia coronopifolia","1.28±0.47","0.01"
"Euphorbia corollata","0.68±0.62","0.28"
"Sorghastrum nutans","-1.06±0.29","<0.001"
"Lathyrus venosus","-1.32±0.57","0.03"
"Aster azureus","-1.62±0.46","<0.001"
"Solidago rigida","-7.33±0.85","<0.001"
"Schizachyrium scoparium","-19.62±1.03","<0.001"
